No.,What is your nationality? ,What is your gender?,What is your age group?,Who are you traveling with?,How much do you spend on your accommodation per night?,How many days are you staying in Cambodia?,Importance [Cultural Heritage],Importance [Food],Importance [Locals/Lifestyle],Importance [Safety],Importance [Value for money],Importance [Scenery],Cambodia [Cultural Heritage],Cambodia [Food],Cambodia [Locals/Lifestyle],Cambodia [Safety],Cambodia [Value for money],Cambodia [Scenery],Thailand [Cultural Heritage],Thailand [Food],Thailand [Locals/Lifestyle],Thailand [Safety],Thailand [Value for money],Thailand [Scenery],Vietnam [Cultural Heritage],Vietnam [Food],Vietnam [Locals/Lifestyle],Vietnam [Safety],Vietnam [Value for money],Vietnam [Scenery],Is this your first time traveling to Cambodia?,"On a scale of 0-10, 0 = Not at all, 10 = Definitely.
How likely are you going to recommend Cambodia as a travel destination to other travelers?","On a scale of 0-10, 0 = Not at all, 10 = Definitely.
How likely do you think you will choose Cambodia as your travel destination again?",Has your perception of Cambodia before and since arriving in Cambodia changed?,How has it changed? Please elaborate.,What factor(s) have contributed to this change in perception?,What factor(s) do you think are better compared to your previous visit(s)?,Feel free to elaborate (optional)
1,Canadian,Male,50+,Family,$70 - $90,More than 4 days,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Yes,10,10,Yes,c,c,,
2,Canadian,Male,50+,Family,$70 - $90,More than 4 days,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,No,,,,,,"Cultural Haritage, Value for money",
3,American,Male,30 - 40,Partner,$90+,More than 4 days,10,10,10,10,6,10,10,6,7,9,10,10,10,10,10,10,10,10,10,7,7,6,10,10,Yes,9,5,No,It is what I expected,What I expected,,
4,American,Male,50+,Partner,$90+,More than 4 days,10,9,8,10,8,9,9,6,7,10,7,9,9,10,8,9,10,8,,,,,,,Yes,9,7,Yes,Better than expected. Much history.,Interacting with local people,,
5,French,Female,0 - 20,Family,$0 - $30,More than 4 days,9,8,8,10,8,10,8,7,6,8,8,9,7,5,7,9,6,7,,,,,,,No,,,,,,Safety,
6,French,Male,40 - 50,Friend(s),$0 - $30,More than 4 days,10,10,8,8,3,10,10,6,7,7,6,10,10,7,7,8,5,10,,,,,,,Yes,8,6,Yes,I think there will be more problem in terms of eating safety and it is better,People are very friendly here for the most,,
7,French,Male,0 - 20,Family,$50 - $70,More than 4 days,10,10,10,10,10,10,5,3,4,5,7,5,5,6,4,6,5,6,10,6,5,5,5,6,No,,,,,,Safety,"The country feels safer than before, you can now walk alone along the road or in markets without having to worry for your safety."
8,British,Female,40 - 50,Partner,$0 - $30,More than 4 days,7,8,7,9,7,8,9,9,8,8,7,7,6,9,6,6,8,6,7,10,7,8,9,6,No,,,,,,Safety,Cambodia has gotten a lot safer than before
9,American,Female,0 - 20,Family,$50 - $70,More than 4 days,10,10,10,10,10,10,10,10,10,10,10,10,6,7,5,2,2,10,6,10,10,2,2,9,No,,,,,,"Food, Scenery",
10,American,Male,20 - 30,Friend(s),$0 - $30,More than 4 days,8,10,6,10,8,9,10,8,6,,7,9,6,7,8,4,5,8,6,,8,,8,9,No,,,,,,"Cultural Heritage, Scenery",
